Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,*_(status_400),*_(status_401/4xx),*_(status_403),*_(status_404),*_(status_410),Req Set,Id,Sub-Requirement(s)
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:network - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:network`""",SHALL,Server,False,NONE,PractitionerRole/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:endpoint - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:endpoint`""",SHALL,Server,False,NONE,PractitionerRole/Fetch and Search Criteria,,,,,,,,
"""[Server] SHALL [support] [practitioner](SearchParameter-practitionerrole-practitioner.html) ... `GET [base]/PractitionerRole?practitioner=[practitioner]`""",SHALL,Server,False,NONE,PractitionerRole/Search Parameter Summary,,,,,,,,
"""[Server] SHALL [support] [organization](SearchParameter-practitionerrole-organization.html) ... `GET [base]/PractitionerRole?organization=[organization]`""",SHALL,Server,False,NONE,PractitionerRole/Search Parameter Summary,,,,,,,,
"""[Server] SHALL [support] [location](SearchParameter-practitionerrole-location.html) ... `GET [base]/PractitionerRole?location=[location]`""",SHALL,Server,False,NONE,PractitionerRole/Search Parameter Summary,,,,,,,,
"""[Server] SHALL [support] [service](SearchParameter-practitionerrole-service.html) ... `GET [base]/PractitionerRole?service=[service]`""",SHALL,Server,False,NONE,PractitionerRole/Search Parameter Summary,,,,,,,,
"""[Server] SHALL [support] [network](SearchParameter-practitionerrole-network.html) ... `GET [base]/PractitionerRole?network=[network]`""",SHALL,Server,False,NONE,PractitionerRole/Search Parameter Summary,,,,,,,,
"""[Server] SHALL [support] [endpoint](SearchParameter-practitionerrole-endpoint.html) ... `GET [base]/PractitionerRole?endpoint=[endpoint]`""",SHALL,Server,False,NONE,PractitionerRole/Search Parameter Summary,,,,,,,,
"""[Server] SHALL [support] [role](SearchParameter-practitionerrole-role.html) ... `GET [base]/PractitionerRole?role=[system] [code]`""",SHALL,Server,False,NONE,PractitionerRole/Search Parameter Summary,,,,,,,,
"""[Server] SHALL [support] [specialty](SearchParameter-practitionerrole-specialty.html) ... `GET [base]/PractitionerRole?specialty=[system] [code]`""",SHALL,Server,False,NONE,PractitionerRole/Search Parameter Summary,,,,,,,,
"""[Server] SHALL [support] [_id](http://hl7.org/fhir/R4/search.html) ... `GET [base]/PractitionerRole?_id=[id]`""",SHALL,Server,False,NONE,PractitionerRole/Search Parameter Summary,,,,,,,,
"""[Server] SHALL [support] [_lastUpdated](http://hl7.org/fhir/R4/search.html) ... `GET [base]/PractitionerRole?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,PractitionerRole/Search Parameter Summary,,,,,,,,
"""The HealthCareService resource typically describes services offered by an organization/practitioner at a location.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html ""StructureDefinition/plannet-HealthcareService""",,,,,,,,
"""The resource may be used to encompass a variety of services covering the entire healthcare spectrum, including promotion, prevention, diagnostics, pharmacy, hospital and ambulatory care, home care, long-term care, and other health-related and community services.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html ""StructureDefinition/plannet-HealthcareService""",,,,,,,,
"""An InsurancePlan is a discrete package of health insurance coverage benefits that are offered under a particular network type.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html ""StructureDefinition/plannet-InsurancePlan""",,,,,,,,
"""A given payer’s products typically differ by network type and/or covered benefits.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html ""StructureDefinition/plannet-InsurancePlan""",,,,,,,,
"""A plan pairs a product’s covered benefits with the particular cost sharing structure offered to a consumer.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html ""StructureDefinition/plannet-InsurancePlan""",,,,,,,,
"""A given product may comprise multiple plans (i.e. each plan offers different cost sharing requirements for the same set of covered benefits).""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html ""StructureDefinition/plannet-InsurancePlan""",,,,,,,,
"""InsurancePlan describes a health insurance offering comprised of a list of covered benefits (i.e. the product), costs associated with those benefits (i.e. the plan), and additional information about the offering, such as who it is owned and administered by, a coverage area, contact information, etc.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html ""StructureDefinition/plannet-InsurancePlan""",,,,,,,,
"""A Location is the physical place where healthcare services are provided, practitioners are employed,   organizations are based, etc.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Location.html ""StructureDefinition/plannet-Location""",,,,,,,,
"""Locations can range in scope from a room in a building to a geographic region/area.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Location.html ""StructureDefinition/plannet-Location""",,,,,,,,
"""A Network refers to a healthcare provider insurance network.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Network.html ""StructureDefinition/plannet-Network""",,,,,,,,
"""A healthcare provider insurance network is an aggregation of organizations and individuals that deliver a set of services across a geography through health insurance products/plans.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Network.html ""StructureDefinition/plannet-Network""",,,,,,,,
"""A network is typically owned by a payer.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Network.html ""StructureDefinition/plannet-Network""",,,,,,,,
"""In the PlanNet IG, individuals and organizations are represented as participants in a PLan-Net Network through the practitionerRole and Plan-Net-organizationAffiliation resources, respectively""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Network.html ""StructureDefinition/plannet-Network""",,,,,,,,
"""An organization is a formal or informal grouping of people or organizations with a common purpose, such as a company, institution, corporation, community group, or healthcare practice.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Organization.html ""StructureDefinition/plannet-Organization""",,,,,,,,
"""When the contact is a department name, rather than a human (e.g., patient help line), include a blank family and given name, and provide the department name in contact.name.text""",SHOULD,Server,True,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Organization.html ""StructureDefinition/plannet-Organization""",,,,,,,,
"""The OrganizationAffiliation resource describes relationships between two or more organizations, including the services one organization provides another, the location(s) where they provide services, the availability of those services, electronic endpoints, and other relevant information.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-OrganizationAffiliation.html ""StructureDefinition/plannet-OrganizationAffiliation""",,,,,,,,
"""Practitioner is a person who is directly or indirectly involved in the provisioning of healthcare.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Practitioner.html ""StructureDefinition/plannet-Practitioner""",,,,,,,,
"""PractionerRole describes details about a provider, which can be a practitioner or an organization.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-PractitionerRole.html ""StructureDefinition/plannet-PractitionerRole""",,,,,,,,
"""When the provider is a practitioner,  there may be a relationship to an organization.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-PractitionerRole.html ""StructureDefinition/plannet-PractitionerRole""",,,,,,,,
"""A provider renders services to patients at a location.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-PractitionerRole.html ""StructureDefinition/plannet-PractitionerRole""",,,,,,,,
"""When the provider is a practitioner, there may also  be a relationship to an organization.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-PractitionerRole.html ""StructureDefinition/plannet-PractitionerRole""",,,,,,,,
"""Practitioner participation in healthcare provider insurance networks may be direct or through their role at an organization.""",SHOULD,Server,False,None,"http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-PractitionerRole.html ""StructureDefinition/plannet-PractitionerRole""",,,,,,,,
