Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,Req Set,Id,Sub-Requirement(s)
"""support [endpoint](SearchParameter-organizationaffiliation-endpoint.html)   reference   GET [base]/OrganizationAffiliation?endpoint=[endpoint]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#search-parameter-summary,,,
"""support [role](SearchParameter-organizationaffiliation-role.html)   token   GET [base]/OrganizationAffiliation?role=[system] [code]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#search-parameter-summary,,,
"""support [specialty](SearchParameter-organizationaffiliation-specialty.html)   token   GET [base]/OrganizationAffiliation?specialty=[system] [code]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#search-parameter-summary,,,
"""support [_id](http://hl7.org/fhir/R4/search.html)   token   GET [base]/OrganizationAffiliation?_id=[id]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#search-parameter-summary,,,
"""support [_lastUpdated](http://hl7.org/fhir/R4/search.html)   date   GET [base]/OrganizationAffiliation?_lastUpdated=[_lastUpdated]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#search-parameter-summary,,,
"""support vread""",SHOULD,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#profile-interaction-summary,,,
"""be capable of returning a OrganizationAffiliation resource using: GET [base]/OrganizationAffiliation/[id]/_history/vid""",SHOULD,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#fetch-and-search-criteria,,,
"""support search-type""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/Practitioner.html#profile-interaction-summary,,,
"""support read""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/Practitioner.html#profile-interaction-summary,,,
"""be capable of returning a Practitioner resource using: GET [base]/Practitioner/[id]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/Practitioner.html#fetch-and-search-criteria,,,
"""be capable of supporting the following _revincludes: PractitionerRole:practitioner - GET [base]/Practitioner?[parameter=value]&_revinclude=PractitionerRole:practitioner""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/Practitioner.html#fetch-and-search-criteria,,,
"""support [name](SearchParameter-practitioner-name.html)   string   GET [base]/Practitioner?name=[name]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/Practitioner.html#search-parameter-summary,,,
"""support [_id](http://hl7.org/fhir/R4/search.html)   token   GET [base]/Practitioner?_id=[id]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/Practitioner.html#search-parameter-summary,,,
"""support [_lastUpdated](http://hl7.org/fhir/R4/search.html)   date   GET [base]/Practitioner?_lastUpdated=[_lastUpdated]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/Practitioner.html#search-parameter-summary,,,
"""support [family](SearchParameter-practitioner-family-name.html)   string   GET [base]/Practitioner?family=[family]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/Practitioner.html#search-parameter-summary,,,
"""support [given](SearchParameter-practitioner-given-name.html)   string   GET [base]/Practitioner?given=[given]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/Practitioner.html#search-parameter-summary,,,
"""support vread""",SHOULD,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/Practitioner.html#profile-interaction-summary,,,
"""be capable of returning a Practitioner resource using: GET [base]/Practitioner/[id]/_history/vid""",SHOULD,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/Practitioner.html#fetch-and-search-criteria,,,
"""SHOULD support ... `vread`""",SHOULD,Server,False,NONE,PractitionerRole/Conformance Expectations/Profile Interaction Summary,,,
"""A Server SHALL be capable of returning a PractitionerRole resource using: `GET [base]/PractitionerRole/[id]`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a PractitionerRole resource using: `GET [base]/PractitionerRole/[id]/_history/vid`""",SHOULD,Server,False,NONE,PractitionerRole/Conformance Expectations/Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:practitioner - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:practitioner`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:organization - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:organization`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:location - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:location`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:service - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:service`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:network - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:network`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:endpoint - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:endpoint`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Fetch and Search Criteria,,,
"""SHALL ... [practitioner](SearchParameter-practitionerrole-practitioner.html) ... `GET [base]/PractitionerRole?practitioner=[practitioner]`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Search Parameter Summary,,,
"""SHALL ... [organization](SearchParameter-practitionerrole-organization.html) ... `GET [base]/PractitionerRole?organization=[organization]`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Search Parameter Summary,,,
"""SHALL ... [location](SearchParameter-practitionerrole-location.html) ... `GET [base]/PractitionerRole?location=[location]`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Search Parameter Summary,,,
"""SHALL ... [service](SearchParameter-practitionerrole-service.html) ... `GET [base]/PractitionerRole?service=[service]`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Search Parameter Summary,,,
"""SHALL ... [network](SearchParameter-practitionerrole-network.html) ... `GET [base]/PractitionerRole?network=[network]`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Search Parameter Summary,,,
"""SHALL ... [endpoint](SearchParameter-practitionerrole-endpoint.html) ... `GET [base]/PractitionerRole?endpoint=[endpoint]`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Search Parameter Summary,,,
"""SHALL ... [role](SearchParameter-practitionerrole-role.html) ... `GET [base]/PractitionerRole?role=[system] [code]`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Search Parameter Summary,,,
"""SHALL ... [specialty](SearchParameter-practitionerrole-specialty.html) ... `GET [base]/PractitionerRole?specialty=[system] [code]`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Search Parameter Summary,,,
"""SHALL ... [_id](http://hl7.org/fhir/R4/search.html) ... `GET [base]/PractitionerRole?_id=[id]`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Search Parameter Summary,,,
"""SHALL ... [_lastUpdated](http://hl7.org/fhir/R4/search.html) ... `GET [base]/PractitionerRole?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,PractitionerRole/Conformance Expectations/Search Parameter Summary,,,
"""Select services available in a region described by the specified location""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-healthcareservice-coverage-area.html ""SearchParameter/healthcareservice-coverage-area""",,,
"""Select HealthcareServices provided by the specified organization""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-healthcareservice-organization.html ""SearchParameter/healthcareservice-organization""",,,
"""Select HealthcareServices with the specified endpoint""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-healthcareservice-endpoint.html ""SearchParameter/healthcareservice-endpoint""",,,
"""Select HealthcareServices available at the specified location""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-healthcareservice-location.html ""SearchParameter/healthcareservice-location""",,,
"""Select HealthcareServices with the specified name""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-healthcareservice-name.html ""SearchParameter/healthcareservice-name""",,,
"""Select HealthcareServices providing the specified category of services""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-healthcareservice-service-category.html ""SearchParameter/healthcareservice-service-category""",,,
"""Select HealthcareServices of the specified type""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-healthcareservice-service-type.html ""SearchParameter/healthcareservice-service-type""",,,
"""Select services associated with the specified specialty""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-healthcareservice-specialty.html ""SearchParameter/healthcareservice-specialty""",,,
"""Select products that are administered by the specified organization""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-insuranceplan-administered-by.html ""SearchParameter/insuranceplan-administered-by""",,,
"""Select products that are offered in the specified location""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-insuranceplan-coverage-area.html ""SearchParameter/insuranceplan-coverage-area""",,,
"""Select products with the specified identifier""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-insuranceplan-identifier.html ""SearchParameter/insuranceplan-identifier""",,,
"""Select products with the specified name""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-insuranceplan-name.html ""SearchParameter/insuranceplan-name""",,,
"""Select products that are owned by the specified organization""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-insuranceplan-owned-by.html ""SearchParameter/insuranceplan-owned-by""",,,
"""Select plans of the specified type""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-insuranceplan-plan-type.html ""SearchParameter/insuranceplan-plan-type""",,,
"""Select insurance plans of the specified type""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-insuranceplan-type.html ""SearchParameter/insuranceplan-type""",,,
"""Select Locations with the specified address.city""",SHALL,Server,False,NONE,"http://hl7.org/fhir/us/planetest/SearchParameter-location-address-city.html ""SearchParameter/location-address-city""",,,
